iter	Passed	Remaining
809	61427	696933
810	61486	696671
811	61571	696695
812	61649	696644
813	61712	696423
814	61785	696323
815	61855	696180
816	61956	696385
817	62025	696227
818	62109	696248
819	62176	696068
820	62253	696007
821	62320	695836
822	62419	696017
823	62501	696017
824	62576	695930
825	62649	695814
826	62715	695630
827	62786	695501
828	62853	695330
829	62918	695132
830	63004	695175
831	63120	695540
832	63236	695910
833	63312	695829
834	63407	695967
835	63503	696108
836	63585	696100
837	63667	696083
838	63768	696279
839	63872	696514
840	63981	696795
841	64057	696721
842	64169	697034
843	64281	697345
844	64367	697378
845	64467	697560
846	64557	697637
847	64668	697929
848	64740	697810
849	64811	697675
850	64889	697624
851	64965	697545
852	65045	697504
853	65127	697494
854	65201	697389
855	65272	697253
856	65349	697187
857	65425	697113
858	65498	697002
859	65577	696953
860	65640	696729
861	65719	696684
862	65793	696591
863	65863	696446
864	65938	696356
865	66008	696218
866	66086	696162
867	66163	696092
868	66249	696115
869	66315	695929
870	66385	695786
871	66460	695705
872	66540	695665
873	66605	695471
874	66663	695203
875	66722	694951
876	66789	694781
877	66884	694896
878	66973	694956
879	67056	694946
880	67121	694754
881	67185	694557
882	67264	694505
883	67328	694302
884	67438	694583
885	67517	694528
886	67578	694299
887	67662	694299
888	67751	694352
889	67848	694498
890	67928	694452
891	68003	694369
892	68062	694119
893	68130	693957
894	68210	693920
895	68278	693755
896	68349	693630
897	68426	693562
898	68501	693473
899	68580	693428
900	68681	693595
901	68751	693457
902	68820	693306
903	68888	693152
904	68953	692963
905	69020	692792
906	69092	692674
907	69167	692586
908	69235	692428
909	69304	692281
910	69362	692026
911	69428	691849
912	69493	691664
913	69558	691473
914	69623	691290
915	69698	691206
916	69764	691023
917	69845	690996
918	69908	690790
919	69985	690729
920	70053	690573
921	70129	690497
922	70189	690263
923	70260	690135
924	70350	690198
925	70428	690136
926	70500	690026
927	70571	689899
928	70635	689703
929	70697	689489
930	70767	689356
931	70843	689275
932	70913	689148
933	70983	689010
934	71047	688822
935	71109	688608
936	71173	688412
937	71233	688183
938	71296	687980
939	71370	687886
940	71439	687743
941	71534	687857
942	71613	687810
943	71675	687603
944	71740	687417
945	71804	687231
946	71868	687036
947	71935	686878
948	71999	686690
949	72074	686608
950	72144	686476
951	72224	686439
952	72292	686286
953	72364	686169
954	72434	686042
955	72510	685966
956	72584	685873
957	72656	685760
958	72730	685672
959	72799	685524
960	72865	685363
961	72934	685223
962	73010	685150
963	73109	685283
964	73196	685320
965	73241	684949
966	73305	684763
967	73378	684665
968	73457	684616
969	73563	684824
970	73629	684654
971	73739	684894
972	73817	684837
973	73883	684676
974	73950	684513
975	74021	684391
976	74091	684270
977	74160	684122
978	74227	683971
979	74299	683854
980	74372	683752
981	74437	683583
982	74510	683482
983	74582	683367
984	74652	683240
985	74729	683173
986	74799	683051
987	74862	682854
988	74926	682673
989	74995	682531
990	75063	682387
991	75139	682311
992	75212	682215
993	75274	682017
994	75347	681909
995	75415	681771
996	75491	681692
997	75562	681572
998	75632	681451
999	75704	681339
1000	75766	681145
1001	75830	680957
1002	75890	680748
1003	75970	680708
1004	76045	680628
1005	76111	680459
1006	76191	680429
1007	76262	680313
1008	76341	680260
1009	76418	680199
1010	76496	680147
1011	76560	679970
1012	76625	679794
1013	76702	679733
1014	76792	679781
1015	76865	679681
1016	76923	679456
1017	76986	679262
1018	77046	679055
1019	77119	678949
1020	77195	678880
1021	77264	678744
1022	77329	678578
1023	77390	678374
1024	77467	678313
1025	77533	678151
1026	77601	678009
1027	77669	677871
1028	77736	677719
1029	77793	677484
1030	77854	677280
1031	77928	677193
1032	77999	677081
1033	78076	677018
1034	78147	676896
1035	78226	676854
1036	78292	676699
1037	78368	676626
1038	78437	676498
1039	78514	676429
1040	78585	676320
1041	78661	676250
1042	78730	676112
1043	78795	675950
1044	78868	675854
1045	78940	675750
1046	79010	675626
1047	79072	675439
1048	79138	675283
1049	79207	675152
1050	79287	675110
1051	79384	675225
1052	79453	675090
1053	79536	675082
1054	79638	675231
1055	79764	675582
1056	79867	675741
1057	79970	675890
1058	80041	675776
1059	80101	675569
1060	80197	675667
1061	80282	675675
1062	80384	675820
1063	80468	675812
1064	80567	675936
1065	80648	675907
1066	80717	675771
1067	80790	675677
1068	80879	675706
1069	80970	675765
1070	81062	675825
1071	81150	675847
1072	81213	675667
1073	81288	675585
1074	81343	675338
1075	81403	675130
1076	81492	675167
1077	81569	675106
1078	81643	675016
1079	81710	674868
1080	81807	674971
1081	81907	675095
1082	82027	675380
1083	82088	675185
1084	82162	675098
1085	82225	674912
1086	82296	674799
1087	82364	674663
1088	82425	674463
1089	82492	674323
1090	82548	674086
1091	82627	674034
1092	82687	673827
1093	82755	673692
1094	82826	673579
1095	82890	673407
1096	82962	673303
1097	83027	673144
1098	83097	673020
1099	83168	672912
1100	83243	672827
1101	83305	672642
1102	83380	672559
1103	83448	672428
1104	83528	672382
1105	83607	672334
1106	83684	672269
1107	83761	672207
1108	83831	672084
1109	83910	672040
1110	83992	672013
1111	84066	671929
1112	84143	671863
1113	84213	671745
1114	84283	671620
1115	84357	671531
1116	84413	671300
1117	84476	671124
1118	84581	671288
1119	84660	671238
1120	84720	671039
1121	84802	671010
1122	84867	670855
1123	84931	670684
1124	84995	670520
1125	85069	670432
1126	85139	670316
1127	85204	670151
1128	85267	669977
1129	85336	669852
1130	85411	669773
1131	85487	669701
1132	85549	669523
1133	85611	669341
1134	85684	669246
1135	85754	669126
1136	85855	669252
1137	85921	669098
1138	85990	668976
1139	86073	668954
1140	86160	668974
1141	86221	668784
1142	86299	668730
1143	86370	668619
1144	86436	668465
1145	86505	668338
1146	86581	668272
1147	86645	668107
1148	86710	667953
1149	86786	667875
1150	86850	667712
1151	86927	667653
1152	86992	667494
1153	87055	667327
1154	87125	667205
1155	87201	667135
1156	87267	666991
1157	87333	666840
1158	87404	666732
1159	87476	666627
1160	87535	666433
1161	87597	666254
1162	87660	666084
1163	87748	666103
1164	87844	666186
1165	87940	666263
1166	88021	666234
1167	88092	666122
1168	88187	666194
1169	88263	666121
1170	88352	666152
1171	88412	665961
1172	88471	665764
1173	88544	665669
